ID,Diagnostic Code,Diagnosis Description
2920,29570,Schizoaffective-Unspec
2921,29571,Schizoaffective-Subchr
2922,29572,Schizoaffective-Chronic
2923,29573,Schizoaff-Subchr/Exacer
2924,29574,Schizoaffect-Chr/Exacer
2925,29575,Schizoaffective-Remiss
2926,2958,Schizophrenia Nec
2927,29580,Schizophrenia Nec-Unspec
2928,29581,Schizophrenia Nec-Subchr
2929,29582,Schizophrenia Nec-Chr
2930,29583,Schizo Nec-Subchr/Exacer
2931,29584,Schizo Nec-Chr/Exacerb
2932,29585,Schizophrenia Nec-Remiss
2933,2959,Schizophrenia Nos
2934,29590,Schizophrenia Nos-Unspec
2935,29591,Schizophrenia Nos-Subchr
2936,29592,Schizophrenia Nos-Chr
2937,29593,Schizo Nos-Subchr/Exacer
2938,29594,Schizo Nos-Chr/Exacerb
2939,29595,Schizophrenia Nos-Remiss
2940,296,Affective Psychoses
2941,2960,"Manic Dis, Singl Episode"
2942,29600,Manic Disorder-Unspec
2943,29601,Manic Disorder-Mild
2944,29602,Manic Disorder-Mod
2945,29603,Manic Disorder-Severe
2946,29604,Manic Dis-Severe W Psych
2947,29605,Manic Dis-Partial Remiss
2948,29606,Manic Dis-Full Remission
2949,2961,"Manic, Recurrent Episode"
2950,29610,Recur Manic Dis-Unspec
2951,29611,Recur Manic Dis-Mild
2952,29612,Recur Manic Dis-Mod
2953,29613,Recur Manic Dis-Severe
2954,29614,Recur Manic-Sev W Psycho
2955,29615,Recur Manic-Part Remiss
2956,29616,Recur Manic-Full Remiss
2957,2962,"Depr Psych, Singl Episod"
2958,29620,Depress Psychosis-Unspec
2959,29621,Depress Psychosis-Mild
2960,29622,Depressive Psychosis-Mod
2961,29623,Depress Psychosis-Severe
2962,29624,Depr Psychos-Sev W Psych
2963,29625,Depr Psychos-Part Remiss
2964,29626,Depr Psychos-Full Remiss
2965,2963,"Depr Psych, Recur Episod"
2966,29630,Recurr Depr Psychos-Unsp
2967,29631,Recurr Depr Psychos-Mild
2968,29632,Recurr Depr Psychos-Mod
2969,29633,Recur Depr Psych-Severe
2970,29634,Rec Depr Psych-Psychotic
2971,29635,Recur Depr Psyc-Part Rem
2972,29636,Recur Depr Psyc-Full Rem
2973,2964,"Bipolar Affective, Manic"
2974,29640,"Bipol Aff, Manic-Unspec"
2975,29641,"Bipolar Aff, Manic-Mild"
2976,29642,"Bipolar Affec, Manic-Mod"
2977,29643,"Bipol Aff, Manic-Severe"
2978,29644,Bipol Manic-Sev W Psych
2979,29645,Bipol Aff Manic-Part Rem
2980,29646,Bipol Aff Manic-Full Rem
2981,2965,"Bipolar Affect, Depress"
2982,29650,"Bipolar Aff, Depr-Unspec"
2983,29651,"Bipolar Affec, Depr-Mild"
2984,29652,"Bipolar Affec, Depr-Mod"
2985,29653,"Bipol Aff, Depr-Severe"
2986,29654,Bipol Depr-Sev W Psych
2987,29655,Bipol Aff Depr-Part Rem
2988,29656,Bipol Aff Depr-Full Rem
2989,2966,"Bipolar Affective, Mixed"
2990,29660,"Bipol Aff, Mixed-Unspec"
2991,29661,"Bipolar Aff, Mixed-Mild"
2992,29662,"Bipolar Affec, Mixed-Mod"
2993,29663,"Bipol Aff, Mixed-Severe"
2994,29664,Bipol Mixed-Sev W Psych
2995,29665,"Bipol Aff, Mix-Part Rem"
2996,29666,"Bipol Aff, Mix-Full Rem"
2997,2967,Bipolar Affective Nos
2998,2968,Manic-Depressive Nec/Nos
2999,29680,Manic-Depressive Nos
3000,29681,Atypical Manic Disorder
3001,29682,Atypical Depressive Dis
3002,29689,Manic-Depressive Nec
3003,2969,Affect Psychoses Nec/Nos
3004,29690,Affective Psychosis Nos
3005,29699,Affective Psychoses Nec
3006,297,Paranoid States
3007,2970,"Paranoid State, Simple"
3008,2971,Paranoia
3009,2972,Paraphrenia
3010,2973,Shared Paranoid Disorder
3011,2978,Paranoid States Nec
3012,2979,Paranoid State Nos
3013,298,Oth Nonorganic Psychoses
3014,2980,React Depress Psychosis
3015,2981,Excitativ Type Psychosis
3016,2982,Reactive Confusion
3017,2983,Acute Paranoid Reaction
3018,2984,Psychogen Paranoid Psych
3019,2988,React Psychosis Nec/Nos
3020,2989,Psychosis Nos
3021,299,Psychoses Of Childhood
3022,2990,Infantile Autism
3023,29900,Infantile Autism-Active
3024,29901,Infantile Autism-Resid
3025,2991,Disintegrative Psychosis
3026,29910,Disintegr Psych-Active
3027,29911,Disintegr Psych-Residual
3028,2998,Early Chld Psychoses Nec
3029,29980,Child Psychos Nec-Active
3030,29981,Child Psychos Nec-Resid
3031,2999,Early Chld Psychosis Nos
3032,29990,Child Psychos Nos-Active
3033,29991,Child Psychos Nos-Resid
3034,300,Neurotic Disorders
3035,3000,Anxiety States
3036,30000,Anxiety State Nos
3037,30001,Panic Disorder
3038,30002,Generalized Anxiety Dis
3039,30009,Anxiety State Nec
3040,3001,Hysteria
3041,30010,Hysteria Nos
3042,30011,Conversion Disorder
3043,30012,Psychogenic Amnesia
3044,30013,Psychogenic Fugue
3045,30014,Multiple Personality
3046,30015,Dissociative React Nos
3047,30016,Factitious Ill W Symptom
3048,30019,Factitious Ill Nec/Nos
3049,3002,Phobic Disorders
3050,30020,Phobia Nos
3051,30021,Agoraphobia With Panic
3052,30022,Agoraphobia W/O Panic
3053,30023,Social Phobia
3054,30029,Isolated Phobias Nec
3055,3003,Obsessive-Compulsive Dis
3056,3004,Neurotic Depression
3057,3005,Neurasthenia
3058,3006,Depersonalization Synd
3059,3007,Hypochondriasis
3060,3008,Neurotic Disorders Nec
3061,30081,Somatization Disorder
3062,30082,Undiff Somatoform Disrdr
3063,30089,Neurotic Disorders Nec
3064,3009,Neurotic Disorder Nos
3065,301,Personality Disorders
3066,3010,Paranoid Personality
3067,3011,Affective Personality
3068,30110,Affectiv Personality Nos
3069,30111,Chronic Hypomanic Person
3070,30112,Chr Depressive Person
3071,30113,Cyclothymic Disorder
3072,3012,Schizoid Personality
3073,30120,Schizoid Personality Nos
3074,30121,Introverted Personality
3075,30122,Schizotypal Personality
3076,3013,Explosive Personality
3077,3014,Compulsive Personality
3078,3015,Histrionic Personality
3079,30150,Histrionic Person Nos
3080,30151,Chr Factitious Illness
3081,30159,Histrionic Person Nec
3082,3016,Dependent Personality
3083,3017,Antisocial Personality
3084,3018,Other Personality Dis
3085,30181,Narcissistic Personality
3086,30182,Avoidant Personality
3087,30183,Borderline Personality
3088,30184,Passive-Aggressiv Person
3089,30189,Personality Disorder Nec
3090,3019,Personality Disorder Nos
3091,302,Sexual Disorders
3092,3020,Ego-Dystonic Homosexlty
3093,3021,Zoophilia
3094,3022,Pedophilia
3095,3023,Transvestism
3096,3024,Exhibitionism
3097,3025,Trans-Sexualism
3098,30250,Trans-Sexualism Nos
3099,30251,"Trans-Sexualism, Asexual"
3100,30252,"Trans-Sexual, Homosexual"
3101,30253,"Trans-Sex, Heterosexual"
3102,3026,Psychosex Identity Dis
3103,3027,Psychosexual Dysfunction
3104,30270,Psychosexual Dysfunc Nos
3105,30271,Inhibited Sexual Desire
3106,30272,Inhibited Sex Excitement
3107,30273,Inhibited Female Orgasm
3108,30274,Inhibited Male Orgasm
3109,30275,Premature Ejaculation
3110,30276,Functional Dyspareunia
3111,30279,Psychosexual Dysfunc Nec
3112,3028,Psychosexual Dis Nec
3113,30281,Fetishism
3114,30282,Voyeurism
3115,30283,Sexual Masochism
3116,30284,Sexual Sadism
3117,30285,"Gend Iden Dis,Adol/Adult"
3118,30289,Psychosexual Dis Nec
3119,3029,Psychosexual Dis Nos
3120,303,Alcohol Dependence Syndr
3121,3030,Ac Alcohol Intoxication
3122,30300,Ac Alcohol Intox-Unspec
3123,30301,Ac Alcohol Intox-Contin
3124,30302,Ac Alcohol Intox-Episod
3125,30303,Ac Alcohol Intox-Remiss
3126,3039,Alcohol Depend Nec/Nos
3127,30390,Alcoh Dep Nec/Nos-Unspec
3128,30391,Alcoh Dep Nec/Nos-Contin
3129,30392,Alcoh Dep Nec/Nos-Episod
3130,30393,Alcoh Dep Nec/Nos-Remiss
3131,304,Drug Dependence
3132,3040,Opioid Type Dependence
3133,30400,Opioid Dependence-Unspec
3134,30401,Opioid Dependence-Contin
3135,30402,Opioid Dependence-Episod
3136,30403,Opioid Dependence-Remiss
3137,3041,Barbiturate Dependence
3138,30410,Barbiturat Depend-Unspec
3139,30411,Barbiturat Depend-Contin
3140,30412,Barbiturat Depend-Episod
3141,30413,Barbiturat Depend-Remiss
3142,3042,Cocaine Dependence
3143,30420,Cocaine Depend-Unspec
3144,30421,Cocaine Depend-Contin
3145,30422,Cocaine Depend-Episodic
3146,30423,Cocaine Depend-Remiss
3147,3043,Cannabis Dependence
3148,30430,Cannabis Depend-Unspec
3149,30431,Cannabis Depend-Contin
3150,30432,Cannabis Depend-Episodic
3151,30433,Cannabis Depend-Remiss
3152,3044,Amphetamine Dependence
3153,30440,Amphetamin Depend-Unspec
3154,30441,Amphetamin Depend-Contin
3155,30442,Amphetamin Depend-Episod
3156,30443,Amphetamin Depend-Remiss
3157,3045,Hallucinogen Dependence
3158,30450,Hallucinogen Dep-Unspec
3159,30451,Hallucinogen Dep-Contin
3160,30452,Hallucinogen Dep-Episod
3161,30453,Hallucinogen Dep-Remiss
3162,3046,Drug Dependence Nec
3163,30460,Drug Depend Nec-Unspec
3164,30461,Drug Depend Nec-Contin
3165,30462,Drug Depend Nec-Episodic
3166,30463,Drug Depend Nec-In Rem
3167,3047,Opioid/Other Drug Depend
3168,30470,Opioid/Other Dep-Unspec
3169,30471,Opioid/Other Dep-Contin
3170,30472,Opioid/Other Dep-Episod
3171,30473,Opioid/Other Dep-Remiss
3172,3048,Comb Drug Dependence Nec
3173,30480,Comb Drug Dep Nec-Unspec
3174,30481,Comb Drug Dep Nec-Contin
3175,30482,Comb Drug Dep Nec-Episod
3176,30483,Comb Drug Dep Nec-Remiss
3177,3049,Drug Dependence Nos
3178,30490,Drug Depend Nos-Unspec
3179,30491,Drug Depend Nos-Contin
3180,30492,Drug Depend Nos-Episodic
3181,30493,Drug Depend Nos-Remiss
3182,305,Nondependent Drug Abuse
3183,3050,Alcohol Abuse
3184,30500,Alcohol Abuse-Unspec
3185,30501,Alcohol Abuse-Continuous
3186,30502,Alcohol Abuse-Episodic
3187,30503,Alcohol Abuse-In Remiss
3188,3051,Tobacco Use Disorder
3189,3052,Cannabis Abuse
3190,30520,Cannabis Abuse-Unspec
3191,30521,Cannabis Abuse-Contin
3192,30522,Cannabis Abuse-Episodic
3193,30523,Cannabis Abuse-In Remiss
3194,3053,Hallucinogen Abuse
3195,30530,Hallucinog Abuse-Unspec
3196,30531,Hallucinog Abuse-Contin
3197,30532,Hallucinog Abuse-Episod
3198,30533,Hallucinog Abuse-Remiss
3199,3054,Barbiturate Abuse
3200,30540,Barbiturate Abuse-Unspec
3201,30541,Barbiturate Abuse-Contin
3202,30542,Barbiturate Abuse-Episod
3203,30543,Barbiturate Abuse-Remiss
3204,3055,Opioid Abuse
3205,30550,Opioid Abuse-Unspec
3206,30551,Opioid Abuse-Continuous
3207,30552,Opioid Abuse-Episodic
3208,30553,Opioid Abuse-In Remiss
3209,3056,Cocaine Abuse
3210,30560,Cocaine Abuse-Unspec
3211,30561,Cocaine Abuse-Continuous
3212,30562,Cocaine Abuse-Episodic
3213,30563,Cocaine Abuse-In Remiss
3214,3057,Amphetamine Abuse
3215,30570,Amphetamine Abuse-Unspec
3216,30571,Amphetamine Abuse-Contin
3217,30572,Amphetamine Abuse-Episod
3218,30573,Amphetamine Abuse-Remiss
3219,3058,Antidepressant Abuse
3220,30580,Antidepress Abuse-Unspec
3221,30581,Antidepress Abuse-Contin
3222,30582,Antidepress Abuse-Episod
3223,30583,Antidepress Abuse-Remiss
3224,3059,Drug Abuse Nec/Nos
3225,30590,Drug Abuse Nec-Unspec
3226,30591,Drug Abuse Nec-Contin
3227,30592,Drug Abuse Nec-Episodic
3228,30593,Drug Abuse Nec-In Remiss
3229,306,Psychophysiologic Dis
3230,3060,Psychogen Musculskel Dis
3231,3061,Psychogenic Respir Dis
3232,3062,Psychogen Cardiovasc Dis
3233,3063,Psychogenic Skin Disease
3234,3064,Psychogenic Gi Disease
3235,3065,Psychogenic Gu Disease
3236,30650,Psychogenic Gu Dis Nos
3237,30651,Psychogenic Vaginismus
3238,30652,Psychogenic Dysmenorrhea
3239,30653,Psychogenic Dysuria
3240,30659,Psychogenic Gu Dis Nec
3241,3066,Psychogen Endocrine Dis
3242,3067,Psychogenic Sensory Dis
3243,3068,Psychogenic Disorder Nec
3244,3069,Psychogenic Disorder Nos
3245,307,Special Symptom Nec
3246,3070,Stammering & Stuttering
3247,3071,Anorexia Nervosa
3248,3072,Tics
3249,30720,Tic Disorder Nos
3250,30721,"Transient Tic, Childhood"
3251,30722,Chronic Motor Tic Dis
3252,30723,Gilles Tourette Disorder
3253,3073,Stereotyped Movements
3254,3074,Nonorganic Sleep Disord
3255,30740,Nonorganic Sleep Dis Nos
3256,30741,Transient Insomnia
3257,30742,Persistent Insomnia
3258,30743,Transient Hypersomnia
3259,30744,Persistent Hypersomnia
3260,30745,Disrupt Sleep-Wake Cycle
3261,30746,Somnambulism/Nght Terror
3262,30747,Sleep Stage Dysfunc Nec
3263,30748,Repetit Sleep Intrusion
3264,30749,Nonorganic Sleep Dis Nec
3265,3075,Eating Disorders Nec/Nos
3266,30750,Eating Disorder Nos
3267,30751,Bulimia
3268,30752,Pica
3269,30753,Psychogenic Rumination
3270,30754,Psychogenic Vomiting
3271,30759,Eating Disorder Nec
3272,3076,Enuresis
3273,3077,Encopresis
3274,3078,Psychalgia
3275,30780,Psychogenic Pain Nos
3276,30781,Tension Headache
3277,30789,Psychogenic Pain Nec
3278,3079,Special Symptom Nec/Nos
3279,308,Acute Reaction To Stress
3280,3080,"Stress React, Emotional"
3281,3081,"Stress Reaction, Fugue"
3282,3082,"Stress React, Psychomot"
3283,3083,Acute Stress React Nec
3284,3084,"Stress React, Mixed Dis"
3285,3089,Acute Stress React Nos
3286,309,Adjustment Reaction
3287,3090,Brief Depressive React
3288,3091,Prolong Depressive React
3289,3092,Adjust React/Oth Emotion
3290,30921,Separation Anxiety
3291,30922,Emancipation Disorder
3292,30923,Academic/Work Inhibition
3293,30924,Adj React-Anxious Mood
3294,30928,Adj React-Mixed Emotion
3295,30929,Adj React-Emotion Nec
3296,3093,Adjust React-Conduct Dis
3297,3094,Adj React-Emotion/Conduc
3298,3098,Other Adjust Reaction
3299,30981,Prolong Posttraum Stress
3300,30982,Adjust React-Phys Sympt
3301,30983,Adjust React-Withdrawal
3302,30989,Adjustment Reaction Nec
3303,3099,Adjustment Reaction Nos
3304,310,Nonpsychotic Brain Synd
3305,3100,Frontal Lobe Syndrome
3306,3101,Organic Personality Synd
3307,3102,Postconcussion Syndrome
3308,3108,Nonpsychot Brain Syn Nec
3309,3109,Nonpsychot Brain Syn Nos
3310,311,Depressive Disorder Nec
3311,312,Conduct Disturbance Nec
3312,3120,Unsocialized Aggression
3313,31200,Unsocial Aggress-Unspec
3314,31201,Unsocial Aggression-Mild
3315,31202,Unsocial Aggression-Mod
3316,31203,Unsocial Aggress-Severe
3317,3121,"Unsocializ, Unaggressive"
3318,31210,Unsocial Unaggress-Unsp
3319,31211,Unsocial Unaggress-Mild
3320,31212,Unsocial Unaggress-Mod
3321,31213,Unsocial Unaggr-Severe
3322,3122,Socialized Conduct Dis
3323,31220,Social Conduct Dis-Unsp
3324,31221,Social Conduct Dis-Mild
3325,31222,Social Conduct Dis-Mod
3326,31223,Social Conduct Dis-Sev
3327,3123,Impulse Control Dis Nec
3328,31230,Impulse Control Dis Nos
3329,31231,Pathological Gambling
3330,31232,Kleptomania
3331,31233,Pyromania
3332,31234,Intermitt Explosive Dis
3333,31235,Isolated Explosive Dis
3334,31239,Impulse Control Dis Nec
3335,3124,Mix Dis Conduct/Emotion
3336,3128,Other Conduct Disturb
3337,31281,Cndct Dsrdr Chldhd Onst
3338,31282,Cndct Dsrdr Adlscnt Onst
3339,31289,Other Conduct Disorder
3340,3129,Conduct Disturbance Nos
3341,313,Emotional Dis Child/Adol
3342,3130,Overanxious Disorder
3343,3131,Misery & Unhappiness Dis
3344,3132,Sensitivity & Withdrawal
3345,31321,Shyness Disorder-Child
3346,31322,Introverted Dis-Child
3347,31323,Elective Mutism
3348,3133,Relationship Problems
3349,3138,Oth Emotional Dis Child
3350,31381,Oppositional Disorder
3351,31382,Identity Disorder
3352,31383,Academic Underachievment
3353,31389,Emotional Dis Child Nec
3354,3139,Emotional Dis Child Nos
3355,314,Hyperkinetic Syndrome
3356,3140,Attention Deficit Dis
3357,31400,Attn Defic Nonhyperact
3358,31401,Attn Deficit W Hyperact
3359,3141,Hyperkinet W Devel Delay
3360,3142,Hyperkinetic Conduct Dis
3361,3148,Other Hyperkinetic Synd
3362,3149,Hyperkinetic Synd Nos
3363,315,Specific Develop Delays
3364,3150,Specific Reading Dis
3365,31500,Reading Disorder Nos
3366,31501,Alexia
3367,31502,Developmental Dyslexia
3368,31509,Reading Disorder Nec
3369,3151,Arithmetical Disorder
3370,3152,Oth Learning Difficulty
3371,3153,Speech/Language Disorder
3372,31531,Development Language Dis
3373,31532,Receptive Language Disrd
3374,31539,Speech/Language Dis Nec
3375,3154,Coordination Disorder
3376,3155,Mixed Development Dis
3377,3158,Development Delays Nec
3378,3159,Development Delay Nos
3379,316,Psychic Factor W Oth Dis
3380,317,Mild Mental Retardation
3381,318,Other Mental Retardation
3382,3180,Mod Mental Retardation
3383,3181,Severe Mental Retardat
3384,3182,Profound Mental Retardat
3385,319,Mental Retardation Nos
3386,320,Bacterial Meningitis
3387,3200,Hemophilus Meningitis
3388,3201,Pneumococcal Meningitis
3389,3202,Streptococcal Meningitis
3390,3203,Staphylococc Meningitis
3391,3207,Mening In Oth Bact Dis
3392,3208,Bacterial Meningitis Nec
3393,32081,Anaerobic Meningitis
3394,32082,Mningts Gram-Neg Bct Nec
3395,32089,Meningitis Oth Spcf Bact
3396,3209,Bacterial Meningitis Nos
3397,321,Oth Organism Meningitis
3398,3210,Cryptococcal Meningitis
3399,3211,Mening In Oth Fungal Dis
3400,3212,Mening In Oth Viral Dis
3401,3213,Trypanosomiasis Meningit
3402,3214,Meningit D/T Sarcoidosis
3403,3218,Mening In Oth Nonbac Dis
3404,322,"Meningitis, Unspecified"
3405,3220,Nonpyogenic Meningitis
3406,3221,Eosinophilic Meningitis
3407,3222,Chronic Meningitis
3408,3229,Meningitis Nos
3409,323,Encephalomyelitis
3410,3230,Encephalit In Viral Dis
3411,3231,Rickettsial Encephalitis
3412,3232,Protozoal Encephalitis
3413,3234,Oth Encephalit D/T Infec
3414,3235,Postimmunizat Encephalit
3415,3236,Postinfect Encephalitis
3416,3237,Toxic Encephalitis
3417,3238,Encephalitis Nec
3418,3239,Encephalitis Nos
3419,324,Cns Abscess
3420,3240,Intracranial Abscess
3421,3241,Intraspinal Abscess
3422,3249,Cns Abscess Nos
3423,325,Phlebitis Intrcran Sinus
3424,326,Late Eff Cns Abscess
3425,330,Cerebral Degen In Child
3426,3300,Leukodystrophy
3427,3301,Cerebral Lipidoses
3428,3302,Cereb Degen In Lipidosis
3429,3303,Cerb Deg Chld In Oth Dis
3430,3308,Cereb Degen In Child Nec
3431,3309,Cereb Degen In Child Nos
3432,331,Cerebral Degeneration
3433,3310,Alzheimer'S Disease
3434,3311,Pick'S Disease
3435,3312,Senile Degenerat Brain
3436,3313,Communicat Hydrocephalus
3437,3314,Obstructiv Hydrocephalus
3438,3317,Cereb Degen In Oth Dis
3439,3318,Cereb Degeneration Nec
3440,33181,Reye'S Syndrome
3441,33189,Cereb Degeneration Nec
3442,3319,Cereb Degeneration Nos
3443,332,Parkinson'S Disease
3444,3320,Paralysis Agitans
3445,3321,Secondary Parkinsonism
3446,333,Extrapyramidal Dis Nec
3447,3330,Degen Basal Ganglia Nec
3448,3331,Tremor Nec
3449,3332,Myoclonus
3450,3333,Tics Of Organic Origin
3451,3334,Huntington'S Chorea
3452,3335,Chorea Nec
3453,3336,Idiopat Torsion Dystonia
3454,3337,Symptom Torsion Dystonia
3455,3338,Fragmnt Torsion Dystonia
3456,33381,Blepharospasm
3457,33382,Orofacial Dyskinesia
3458,33383,Spasmodic Torticollis
3459,33384,Organic Writers' Cramp
3460,33389,Fragm Torsion Dyston Nec
3461,3339,Extrpyrmidal Dis Nec/Nos
3462,33390,Extrapyramidal Dis Nos
3463,33391,Stiff-Man Syndrome
3464,33392,Neuroleptic Malgnt Synd
3465,33393,Bnign Shuddering Attacks
3466,33399,Extrapyramidal Dis Nec
3467,334,Spinocerebellar Disease
3468,3340,Friedreich'S Ataxia
3469,3341,Hered Spastic Paraplegia
3470,3342,Primary Cerebellar Degen
3471,3343,Cerebellar Ataxia Nec
3472,3344,Cerebel Atax In Oth Dis
3473,3348,Spinocerebellar Dis Nec
3474,3349,Spinocerebellar Dis Nos
3475,335,Ant Horn Cell Disease
3476,3350,Werdnig-Hoffmann Disease
3477,3351,Spinal Muscular Atrophy
3478,33510,Spinal Muscl Atrophy Nos
3479,33511,Kugelberg-Welander Dis
3480,33519,Spinal Muscl Atrophy Nec
3481,3352,Motor Neuron Disease
3482,33520,Amyotrophic Sclerosis
3483,33521,Prog Muscular Atrophy
3484,33522,Progressive Bulbar Palsy
3485,33523,Pseudobulbar Palsy
3486,33524,Prim Lateral Sclerosis
3487,33529,Motor Neuron Disease Nec
3488,3358,Ant Horn Cell Dis Nec
3489,3359,Ant Horn Cell Dis Nos
3490,336,Spinal Cord Disease Nec
3491,3360,Syringomyelia
3492,3361,Vascular Myelopathies
3493,3362,Comb Deg Cord In Oth Dis
3494,3363,Myelopathy In Oth Dis
3495,3368,Myelopathy Nec
3496,3369,Spinal Cord Disease Nos
3497,337,Autonomic Nerve Disorder
3498,3370,Idiopath Auto Neuropathy
3499,3371,Aut Neuropthy In Oth Dis
3500,3372,Reflex Sympth Dystrophy
3501,33720,Unsp Rflx Sympth Dystrph
3502,33721,Rflx Sym Dystrph Up Limb
3503,33722,Rflx Sym Dystrph Lwr Lmb
3504,33729,Rflx Sym Dystrph Oth St
3505,3373,Autonomic Dysreflexia
3506,3379,Autonomic Nerve Dis Nec
3507,340,Multiple Sclerosis
3508,341,Other Cns Demyelination
3509,3410,Neuromyelitis Optica
3510,3411,Schilder'S Disease
3511,3418,Cns Demyelination Nec
3512,3419,Cns Demyelination Nos
3513,342,Hemiplegia
3514,3420,Flaccid Hemiplegia
3515,34200,Flccd Hmiplga Unspf Side
3516,34201,Flccd Hmiplga Domnt Side
3517,34202,Flccd Hmiplg Nondmnt Sde
3518,3421,Spastic Hemiplegia
3519,34210,Spstc Hmiplga Unspf Side
3520,34211,Spstc Hmiplga Domnt Side
3521,34212,Spstc Hmiplg Nondmnt Sde
3522,34280,Ot Sp Hmiplga Unspf Side
3523,34281,Ot Sp Hmiplga Domnt Side
3524,34282,Ot Sp Hmiplg Nondmnt Sde
3525,3429,Hemiplegia Nos
3526,34290,Unsp Hemiplga Unspf Side
3527,34291,Unsp Hemiplga Domnt Side
3528,34292,Unsp Hmiplga Nondmnt Sde
3529,343,Infantile Cerebral Palsy
3530,3430,Congenital Diplegia
3531,3431,Congenital Hemiplegia
3532,3432,Congenital Quadriplegia
3533,3433,Congenital Monoplegia
3534,3434,Infantile Hemiplegia
3535,3438,Cerebral Palsy Nec
3536,3439,Cerebral Palsy Nos
3537,344,Oth Paralytic Syndromes
3538,3440,Quadriplegia Nos
3539,34400,"Quadriplegia, Unspecifd"
3540,34401,"Quadrplg C1-C4, Complete"
3541,34402,"Quadrplg C1-C4, Incomplt"
3542,34403,"Quadrplg C5-C7, Complete"
3543,34404,"Quadrplg C5-C7, Incomplt"
3544,34409,Other Quadriplegia
3545,3441,Paraplegia Nos
3546,3442,Diplegia Of Upper Limbs
3547,3443,Monoplegia Of Lower Limb
3548,34430,Monplga Lwr Lmb Unsp Sde
3549,34431,Monplga Lwr Lmb Dmnt Sde
3550,34432,Mnplg Lwr Lmb Nondmnt Sd
3551,3444,Monoplegia Of Upper Limb
3552,34440,Monplga Upr Lmb Unsp Sde
3553,34441,Monplga Upr Lmb Dmnt Sde
3554,34442,Mnplg Upr Lmb Nondmnt Sd
3555,3445,Monoplegia Nos
3556,3446,Cauda Equina Syndrome
3557,34460,Cauda Equina Synd Nos
3558,34461,Neurogenic Bladder
3559,3448,Paralytic Syndromes Nec
3560,34481,Locked-In State
3561,34489,Oth Spcf Paralytic Synd
3562,3449,Paralysis Nos
3563,345,Epilepsy
3564,3450,Gen Nonconvuls Epilepsy
3565,34500,Gen Noncv Ep W/O Intr Ep
3566,34501,Gen Nonconv Ep W Intr Ep
3567,3451,Gen Convulsive Epilepsy
3568,34510,Gen Cnv Epil W/O Intr Ep
3569,34511,Gen Cnv Epil W Intr Epil
3570,3452,Petit Mal Status
3571,3453,Grand Mal Status
3572,3454,Psychomotor Epilepsy
3573,34540,Psymotr Epil W/O Int Epi
3574,34541,Psymotr Epil W Intr Epil
3575,3455,Partial Epilepsy Nec
3576,34550,Part Epil W/O Intr Epil
3577,34551,Part Epil W Intr Epil
3578,3456,Infantile Spasms
3579,34560,Inf Spasm W/O Intr Epil
3580,34561,Inf Spasm W Intract Epil
3581,3457,Epileps Partial Continua
3582,34570,Epil Par Cont W/O Int Ep
3583,34571,Epil Par Cont W Intr Epi
3584,3458,Epilepsy Nec
3585,34580,Epilep Nec W/O Intr Epil
3586,34581,Epilepsy Nec W Intr Epil
3587,3459,Epilepsy Nos
3588,34590,Epilep Nos W/O Intr Epil
3589,34591,Epilepsy Nos W Intr Epil
3590,346,Migraine
3591,3460,Classical Migraine
3592,34600,Clsc Migrne Wo Ntrc Mgrn
3593,34601,Clsc Mgrn W Ntrc Mgr Std
3594,3461,Common Migraine
3595,34610,Comn Migrne Wo Ntrc Mgrn
3596,34611,Comn Mgrn W Ntrc Mgr Std
3597,3462,Variants Of Migraine
3598,34620,Vrnt Migrne Wo Ntrc Mgrn
3599,34621,Vrnt Mgrn W Ntrc Mgr Std
3600,3468,Migraine Nec
3601,34680,Othr Migrne Wo Ntrc Mgrn
3602,34681,Othr Mgrn W Ntrc Mgr Std
3603,3469,Migraine Nos
3604,34690,Migrne Unsp Wo Ntrc Mgrn
3605,34691,Mgrn Unsp W Ntrc Mgr Std
3606,347,Cataplexy And Narcolepsy
3607,348,Other Brain Conditions
3608,3480,Cerebral Cysts
3609,3481,Anoxic Brain Damage
3610,3482,Pseudotumor Cerebri
3611,3483,Encephalopathy Nos
3612,3484,Compression Of Brain
3613,3485,Cerebral Edema
3614,3488,Brain Conditions Nec
3615,3489,Brain Condition Nos
3616,349,Cns Disorder Nec/Nos
3617,3490,Lumbar Puncture Reaction
3618,3491,Complication Cns Device
3619,3492,Disorder Of Meninges Nec
3620,3498,Other Cns Disorders
3621,34981,Cerebrospinal Rhinorrhea
3622,34982,Toxic Encephalopathy
3623,34989,Cns Disorder Nec
3624,3499,Cns Disorder Nos
3625,350,Trigeminal Nerv Disorder
3626,3501,Trigeminal Neuralgia
3627,3502,Atypical Face Pain
3628,3508,Trigeminal Nerve Dis Nec
3629,3509,Trigeminal Nerve Dis Nos
3630,351,Facial Nerve Disorders
3631,3510,Bell'S Palsy
3632,3511,Geniculate Ganglionitis
3633,3518,Facial Nerve Dis Nec
3634,3519,Facial Nerve Dis Nos
3635,352,Disorder Cran Nerve Nec
3636,3520,Olfactory Nerve Disorder
3637,3521,Glossopharyng Neuralgia
3638,3522,Glossophar Nerve Dis Nec
3639,3523,Pneumogastric Nerve Dis
3640,3524,Accessory Nerve Disorder
3641,3525,Hypoglossal Nerve Dis
3642,3526,Mult Cranial Nerve Palsy
